,ytid,Speech,Animal,Music,Vehicle
0,5rks4FNDYPw,0,0,1,0
1,0WYSS13Hqy8,0,0,1,0
2,hZYFGJ2Tr_g,0,0,1,0
3,MeAykJrFfJs,0,0,1,0
4,5G05PSrnr1o,0,0,0,1
5,5X6q35fYKLc,1,0,0,0
6,Bg0gtKsMV6E,0,0,0,1
7,CCPJa-FjWho,0,0,1,0
8,PJf16pkFAuI,1,0,0,0
9,lKS7fQ42Zn4,0,0,1,0
10,Y9kHCgC121c,0,1,0,0
11,gfQnUI-s6po,0,0,0,1
12,g2W2pUy7O5k,0,0,1,0
13,EL8H2Q62v3o,0,0,1,0
14,I5lkr3d8yO8,1,0,0,0
15,lW2WOgt-P9U,0,0,1,0
16,8OIRq7Rc8zQ,0,0,1,0
17,u2-8B-JROQw,0,0,1,0
18,OesrcyTcgtM,1,0,0,0
19,ZA2PUOnLSc8,0,0,1,0
20,Qt4kkOfrWdk,0,0,1,0
21,SsXc9C9nMHU,1,0,0,0
22,2aYLGAgub1s,1,0,0,0
23,KzBHffj-M8A,0,0,1,0
24,2nMFn5wqwnU,0,0,1,0
25,FwjC-Ot_yQQ,0,0,1,0
26,WSs7DFhrGmg,0,0,0,1
27,bwyZ9rM3sAw,0,0,0,1
28,8t7tY_j3obE,0,0,1,0
29,ZCQawFaAp8o,0,0,1,0
30,Xn8xiq8kZ9g,1,0,0,0
31,jmmoiGxIuus,0,0,1,0
32,OjJ4-s-JkWI,1,0,0,0
33,IwfDG7NWQ0E,0,0,1,0
34,sEW6353tQ4M,1,0,0,0
35,bip62cyvBMw,0,0,1,0
36,UjGlAXWrbiI,0,0,1,0
37,s2pXCUwFBV0,0,0,1,0
38,HuRyWNPyNUY,0,0,1,0
39,YkxOLlwQ1tY,0,0,1,0
40,YTI7ieTnps0,0,0,1,0
41,V2fX1x8Z-sw,1,0,0,0
42,GqHdDY6LITU,1,0,0,0
43,I80kXW6o3aY,0,0,1,0
44,bT5s5tCmu1Y,1,0,0,0
45,OSahOiPIGEg,0,0,1,0
46,SxgxoptOw2U,0,0,1,0
47,oI93Q8aEbrU,0,0,0,1
48,L7wCGLU2M5g,0,0,1,0
49,et2H12H087A,1,0,0,0
50,nZXFOcwCVIQ,1,0,0,0
51,q5AthmK9f5s,1,0,0,0
52,f-F-GDiwc14,1,0,0,0
53,Sz2qyEEDjdk,0,0,1,0
54,GLEDUmnwnLY,0,1,0,0
55,REVXYiGUiuU,0,0,1,0
56,HEp8yFFbIp4,1,0,0,0
57,7M4WYwObhw4,1,0,0,0
58,hUEmgL5L6Xc,0,0,1,0
59,uYcljqiF9iI,0,0,0,1
60,lTTnrH5-wss,1,0,0,0
61,7f0RZD9r7WM,1,0,0,0
62,k02dVKDiHqA,1,0,0,0
63,5635wTGH04g,1,0,0,0
64,GyWmxnfIOo0,1,0,0,0
65,njK2hg0-h40,1,0,0,0
66,JooVa44Wpe8,1,0,0,0
67,j0MZd4QkX8M,0,0,1,0
68,tA7NlO_EC5k,0,0,1,0
69,SVjCKd0MOak,0,0,1,0
70,vZH94XCJpTM,0,0,1,0
71,EWLQ26wVnuc,0,0,1,0
72,Ow4LFYQPggQ,0,0,1,0
73,H7a67k5Y6JM,0,0,0,1
74,lvFFh_2hXAs,0,0,1,0
75,e9KWWhW33h4,0,0,1,0
76,ywh5F7hnyX4,1,0,0,0
77,ZlzB-N43Xj4,1,0,0,0
78,8xbW-5OC1_0,0,0,1,0
79,AU4camRDgfs,1,0,0,0
80,zufIbIu_IxA,0,0,1,0
81,X20g_AZwRHk,1,0,0,0
82,_U7ggyEPZcI,0,0,1,0
83,5lQ82XGlCo4,1,0,0,0
84,B1vPHw1_bcc,0,0,1,0
85,u5QqunHtgjM,0,0,1,0
86,vv19jnZH-7Y,1,0,0,0
87,MxVEQ5NhpRk,0,0,1,0
88,9IJdIDiFpZ0,0,0,0,1
89,Tu6VpAepsgc,1,0,0,0
90,6IQ6E_SRKzg,1,0,0,0
91,-zKS9u8-B4g,0,0,1,0
92,IVU_xQe2koo,1,0,0,0
93,c9qbhxQxP2s,0,0,1,0
94,IG8D_DxJU2g,1,0,0,0
95,MkVaOS3cNm0,0,1,0,0
96,084putnJGBA,0,0,1,0
97,iPEGL6cSDu8,0,0,1,0
98,8aw2e194W-8,0,0,1,0
99,i6a1EDHON1Y,1,0,0,0
100,TDzXk4H8sQA,0,0,1,0
101,8w7AXWlGN3k,0,0,1,0
102,6oXjRHPniug,0,0,1,0
103,ss9zk7TPEGI,0,0,1,0
104,QY_YNmYjUS8,1,0,0,0
105,1Xt4TxVPKYc,1,0,0,0
106,k3xiqgGiemI,1,0,0,0
107,LgOCEcgqiQY,1,0,0,0
108,DkEt79RRznU,1,0,0,0
109,pbSWqrrq2Eo,1,0,0,0
110,zmdHImBJhPE,0,0,1,0
111,jnP0yjuaoDs,1,0,0,0
